system:index,fire_frequency,plot_id,.geo
00000000000000000160_0_0,0,MAR_391,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_0_0,0,MAR_392,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_0_0,0,MAR_393,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000163_0_0,0,MAR_394,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_0_0,0,MAR_395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000165_0_0,0,MAR_396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166_0_0,0,MAR_397,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167_0_0,0,MAR_398,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168_0_0,0,MAR_399,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_0_0,0,MAR_400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_0_0,0,MAR_401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016b_0_0,0,MAR_402,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016c_0_0,0,MAR_403,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d_0_0,0,MAR_404,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_0_0,2,MAR_348,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_0_0,0,MAR_352,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_0_0,0,MAR_356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143_0_0,2,MAR_362,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_0_0,2,MAR_363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a_0_0,2,MAR_369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014b_0_0,2,MAR_370,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e_0_0,2,MAR_373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f_0_0,2,MAR_374,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_0_0,2,MAR_377,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000155_0_0,2,MAR_380,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_0_0,2,MAR_381,"{""type"":""MultiPoint"",""coordinates"":[]}"
