plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8
MAR_158,0.8889447,3.5655515,2.1194167,1.2,0.26666666666666666,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_159,1.0570942,3.828944,2.3902738,0.4,0.5333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_16,-0.12951002,3.0992172,1.8191944,0.4666666666666667,0.13333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_160,0.10508359,3.0793955,1.6027626,0.7333333333333333,0.6666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_161,0.83979225,3.8957922,2.4783988,0.2,0.8,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_162,0.7782681,3.4675047,0.9513899,0.5333333333333333,0.26666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_163,0.08885438,3.059818,1.6090622,0.7333333333333333,0.4,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_164,0.070489466,3.1663082,1.3486814,0.7333333333333333,0.3333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_165,-0.09560122,2.5005882,1.5421898,0.5333333333333333,0.3333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_166,0.4238978,3.3814685,1.907925,0.2,1.8666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_167,-0.7169684,2.0430539,1.4289925,0.5333333333333333,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_168,0.58595824,2.8521526,1.8315622,0.8,0.3333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_169,0.35716718,3.0469563,2.3826838,0.4666666666666667,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_170,-0.83185095,0.26514807,-0.2802093,1.3333333333333333,0.06666666666666667,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_172,-0.2653323,1.7273589,1.6764129,0.7333333333333333,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_173,0.47866812,2.7275417,1.2134734,0.8,0.13333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_174,0.6319112,2.8810039,1.339514,0.8,0.7333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_175,-1.58878,-2.0858963,0.46153003,0.26666666666666666,0.0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_176,1.3425684,3.6949565,1.0718218,0.6,0.06666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_177,0.66025764,3.1127198,1.6583123,0.7333333333333333,0.26666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_178,-0.18071283,2.5279958,1.4928397,0.3333333333333333,0.26666666666666666,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_179,0.8730263,3.3599746,1.123324,0.0,3.3333333333333335,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_18,0.2630092,1.0190496,2.5554607,0.0,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_180,-0.51457113,1.1597749,1.5709167,0.7333333333333333,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_181,0.59710765,2.808531,1.5264452,0.7333333333333333,0.4666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_182,0.30615726,1.1195642,2.5795274,0.0,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_183,0.82295585,2.1480284,1.5008155,0.6,0.6,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_184,1.1648028,2.4820683,1.0789424,0.4,0.8666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
